,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
1.00200e-02,-3.20e-01,1.80e+00,-8.42e-01,-2.95e+01, 
1.01200e-02,-3.20e-01,1.80e+00,-8.89e-01,-3.02e+01, 
1.02200e-02,-4.80e-01,1.69e+00,-8.11e-01,-3.31e+01, 
1.03200e-02,-5.20e-01,1.72e+00,-8.42e-01,-3.38e+01, 
1.04200e-02,-6.80e-01,1.65e+00,-7.96e-01,-3.60e+01, 
1.05200e-02,-6.80e-01,1.65e+00,-8.42e-01,-3.67e+01, 
1.06200e-02,-8.80e-01,1.53e+00,-7.18e-01,-3.89e+01, 
1.07200e-02,-8.80e-01,1.53e+00,-7.33e-01,-3.89e+01, 
1.08200e-02,-1.04e+00,1.45e+00,-6.86e-01,-4.10e+01, 
1.09200e-02,-1.08e+00,1.45e+00,-7.02e-01,-4.18e+01, 
1.10200e-02,-1.28e+00,1.33e+00,-6.40e-01,-4.32e+01, 
1.11200e-02,-1.24e+00,1.29e+00,-6.71e-01,-4.32e+01, 
1.12200e-02,-1.44e+00,1.25e+00,-6.08e-01,-4.54e+01, 
1.13200e-02,-1.44e+00,1.18e+00,-6.24e-01,-4.54e+01, 
1.14200e-02,-1.60e+00,1.06e+00,-5.30e-01,-4.75e+01, 
1.15200e-02,-1.60e+00,1.06e+00,-5.62e-01,-4.75e+01, 
1.16200e-02,-1.76e+00,9.41e-01,-4.99e-01,-4.90e+01, 
1.17200e-02,-1.80e+00,9.41e-01,-5.15e-01,-4.90e+01, 
1.18200e-02,-1.92e+00,8.23e-01,-4.37e-01,-5.11e+01, 
1.19200e-02,-1.92e+00,7.84e-01,-4.21e-01,-5.11e+01, 
1.20200e-02,-2.04e+00,6.66e-01,-3.43e-01,-5.18e+01, 
1.21200e-02,-2.08e+00,6.66e-01,-3.59e-01,-5.18e+01, 
1.22200e-02,-2.16e+00,5.49e-01,-2.81e-01,-5.33e+01, 
1.23200e-02,-2.20e+00,5.10e-01,-2.96e-01,-5.33e+01, 
1.24200e-02,-2.32e+00,3.92e-01,-2.03e-01,-5.47e+01, 
1.25200e-02,-2.36e+00,3.92e-01,-2.34e-01,-5.47e+01, 
1.26200e-02,-2.48e+00,2.35e-01,-1.56e-01,-5.54e+01, 
1.27200e-02,-2.44e+00,1.96e-01,-1.72e-01,-5.54e+01, 
1.28200e-02,-2.60e+00,1.18e-01,-1.25e-01,-5.47e+01, 
1.29200e-02,-2.60e+00,7.84e-02,-1.25e-01,-5.54e+01, 
1.30200e-02,-2.68e+00,-3.92e-02,-1.56e-02,-5.62e+01, 
1.31200e-02,-2.64e+00,-7.84e-02,-4.68e-02,-5.62e+01, 
1.32200e-02,-2.76e+00,-1.96e-01,3.12e-02,-5.69e+01, 
1.33200e-02,-2.76e+00,-1.96e-01,1.56e-02,-5.62e+01, 
1.34200e-02,-2.88e+00,-3.14e-01,7.80e-02,-5.54e+01, 
1.35200e-02,-2.84e+00,-3.14e-01,7.80e-02,-5.62e+01, 
1.36200e-02,-2.96e+00,-5.10e-01,1.25e-01,-5.54e+01, 
1.37200e-02,-2.96e+00,-5.10e-01,1.40e-01,-5.54e+01, 
1.38200e-02,-3.00e+00,-6.27e-01,2.03e-01,-5.47e+01, 
1.39200e-02,-2.96e+00,-6.66e-01,2.18e-01,-5.54e+01, 
1.40200e-02,-3.04e+00,-7.84e-01,2.81e-01,-5.47e+01, 
1.41200e-02,-3.00e+00,-7.84e-01,2.65e-01,-5.47e+01, 
1.42200e-02,-3.08e+00,-9.41e-01,3.28e-01,-5.33e+01, 
1.43200e-02,-3.04e+00,-9.02e-01,3.28e-01,-5.33e+01, 
1.44200e-02,-3.16e+00,-1.06e+00,3.74e-01,-5.18e+01, 
1.45200e-02,-3.04e+00,-1.06e+00,3.74e-01,-5.18e+01, 
1.46200e-02,-3.12e+00,-1.18e+00,4.68e-01,-5.11e+01, 
1.47200e-02,-3.08e+00,-1.22e+00,4.84e-01,-5.04e+01, 
1.48200e-02,-3.04e+00,-1.29e+00,5.15e-01,-4.90e+01, 
1.49200e-02,-3.08e+00,-1.29e+00,4.99e-01,-4.90e+01, 
1.50200e-02,-3.08e+00,-1.41e+00,5.62e-01,-4.75e+01, 
1.51200e-02,-3.12e+00,-1.41e+00,5.77e-01,-4.75e+01, 
